IIIIII	(-3.16415743346954+0j)
XIIYII	-0.005605446993619536j
ZIIZZI	(0.10846061082694476+0j)
ZZIZII	(0.10846061082694476+0j)
ZIIZII	(0.11162533264502604+0j)
IIZIZI	(0.0008632781050917889+0j)
IZIIIZ	(0.0008632781050917889+0j)
ZXXXXI	(6.528886930808335e-05+0j)
IYYXXI	(6.528886930808335e-05+0j)
ZXXYYZ	(6.528886930808335e-05+0j)
IYYYYZ	(6.528886930808335e-05+0j)
YIYIIZ	(0.0010239499163007043+0j)
XIXIIZ	(0.0010239499163007043+0j)
IIZYIY	(0.0010239499163007043+0j)
IIZXIX	(0.0010239499163007043+0j)
XXIZXX	(6.528886930808335e-05+0j)
YYZZXX	(6.528886930808335e-05+0j)
XXIIYY	(6.528886930808335e-05+0j)
YYZIYY	(6.528886930808335e-05+0j)
XXXZXI	(-6.35621810340087e-05+0j)
YXYZXI	(-6.35621810340087e-05+0j)
XXXIXZ	(6.35621810340087e-05+0j)
YXYIXZ	(6.35621810340087e-05+0j)
ZXIXXX	(-6.35621810340087e-05+0j)
IXZXXX	(6.35621810340087e-05+0j)
ZXIYXY	(-6.35621810340087e-05+0j)
IXZYXY	(6.35621810340087e-05+0j)
ZXXZYY	(1.3169504628784447e-06+0j)
IYYZYY	(1.3169504628784447e-06+0j)
ZXXIXX	(1.3169504628784447e-06+0j)
IYYIXX	(1.3169504628784447e-06+0j)
ZYYZXX	(1.3169504628784447e-06+0j)
IXXZXX	(1.3169504628784447e-06+0j)
ZYYIYY	(1.3169504628784447e-06+0j)
IXXIYY	(1.3169504628784447e-06+0j)
XXXXYY	(1.734723475976807e-18+0j)
YXYXYY	(1.734723475976807e-18+0j)
XXXYYX	(-1.734723475976807e-18+0j)
YXYYYX	(-1.734723475976807e-18+0j)
XYYXXX	(1.734723475976807e-18+0j)
YYXXXX	(-1.734723475976807e-18+0j)
XYYYXY	(1.734723475976807e-18+0j)
YYXYXY	(-1.734723475976807e-18+0j)
IIZZZZ	(0.0008632781050917908+0j)
ZZZIIZ	(0.0008632781050917908+0j)
IZXXZZ	(6.528886930808162e-05+0j)
IIXXZZ	(-6.528886930808162e-05+0j)
IZXXIZ	(-6.528886930808162e-05+0j)
IIXXIZ	(6.528886930808162e-05+0j)
XZZIZX	(6.528886930808162e-05+0j)
XIZIZX	(-6.528886930808162e-05+0j)
XZZIIX	(-6.528886930808162e-05+0j)
XIZIIX	(6.528886930808162e-05+0j)
IZXZIX	(-1.3169504628749752e-06+0j)
IIXZIX	(1.3169504628749752e-06+0j)
IZXZZX	(1.3169504628749752e-06+0j)
IIXZZX	(-1.3169504628749752e-06+0j)
ZIXIZX	(-1.3169504628749752e-06+0j)
ZZXIZX	(1.3169504628749752e-06+0j)
ZIXIIX	(1.3169504628749752e-06+0j)
ZZXIIX	(-1.3169504628749752e-06+0j)
IIZZIZ	(0.0018938223941813038+0j)
ZIZIIZ	(0.0018938223941813038+0j)
IZZIZI	(0.001239720277830807+0j)
IZIIZZ	(0.001239720277830807+0j)
ZXZZXI	(-6.56155180801619e-05+0j)
IXIZXI	(6.56155180801619e-05+0j)
ZXZIXZ	(6.56155180801619e-05+0j)
IXIIXZ	(-6.56155180801619e-05+0j)
ZXIZXZ	(-6.56155180801619e-05+0j)
IXZZXZ	(6.56155180801619e-05+0j)
ZXIIXI	(6.56155180801619e-05+0j)
IXZIXI	(-6.56155180801619e-05+0j)
XXZXXI	(6.856645622357025e-05+0j)
YYIXXI	(6.856645622357025e-05+0j)
XXZYYZ	(6.856645622357025e-05+0j)
YYIYYZ	(6.856645622357025e-05+0j)
XXIXXZ	(6.856645622357025e-05+0j)
YYZXXZ	(6.856645622357025e-05+0j)
XXIYYI	(6.856645622357025e-05+0j)
YYZYYI	(6.856645622357025e-05+0j)
XXZZYY	(-1.0965435606339236e-05+0j)
YYIZYY	(-1.0965435606339236e-05+0j)
XXZIXX	(-1.0965435606339236e-05+0j)
YYIIXX	(-1.0965435606339236e-05+0j)
ZXZXYY	(5.421010862427522e-20+0j)
IXIXYY	(-5.421010862427522e-20+0j)
ZXZYYX	(-5.421010862427522e-20+0j)
IXIYYX	(5.421010862427522e-20+0j)
XYYZXZ	(5.421010862427522e-20+0j)
YYXZXZ	(-5.421010862427522e-20+0j)
XYYIXI	(-5.421010862427522e-20+0j)
YYXIXI	(5.421010862427522e-20+0j)
ZYYXXZ	(-1.0965435606339236e-05+0j)
IXXXXZ	(-1.0965435606339236e-05+0j)
ZYYYYI	(-1.0965435606339236e-05+0j)
IXXYYI	(-1.0965435606339236e-05+0j)
IZZYIY	(0.0008745947963697754+0j)
IZZXIX	(0.0008186863126280788+0j)
IZZXZX	(5.590848374169654e-05+0j)
YIYIZZ	(0.0008745947963697754+0j)
XIXIZZ	(0.0008186863126280788+0j)
XZXIZZ	(5.590848374169654e-05+0j)
ZZIIZI	(0.001191442125890752+0j)
IZZZZZ	(0.0011914421258907549+0j)
ZZZIZZ	(0.0011914421258907549+0j)
IZIZZI	(0.001191442125890752+0j)
ZZIYIY	(0.000818686312628077+0j)
ZZIXIX	(0.0008745947963697742+0j)
ZZIXZX	(-5.59084837416972e-05+0j)
YIYZZI	(0.000818686312628077+0j)
XIXZZI	(0.0008745947963697742+0j)
XZXZZI	(-5.59084837416972e-05+0j)
ZIIIZI	(0.0015608416448032623+0j)
IZZZIZ	(0.0020700731194264743+0j)
ZIZIZZ	(0.0020700731194264743+0j)
IZIZII	(0.0015608416448032623+0j)
ZIIYIY	(0.0008002254281455415+0j)
ZIIXIX	(0.0008002254281455415+0j)
YIYZII	(0.0008002254281455415+0j)
XIXZII	(0.0008002254281455415+0j)
ZZIZZZ	(0.0012397202778308084+0j)
ZZZZZI	(0.0012397202778308084+0j)
XZIXZZ	(6.856645622357101e-05+0j)
XIIXZZ	(-6.856645622357101e-05+0j)
XZIXIZ	(-6.856645622357101e-05+0j)
XIIXIZ	(6.856645622357101e-05+0j)
XZZXZI	(6.856645622357101e-05+0j)
XIZXZI	(-6.856645622357101e-05+0j)
XZZXII	(-6.856645622357101e-05+0j)
XIZXII	(6.856645622357101e-05+0j)
XZIZIX	(1.0965435606338368e-05+0j)
XIIZIX	(-1.0965435606338368e-05+0j)
XZIZZX	(-1.0965435606338368e-05+0j)
XIIZZX	(1.0965435606338368e-05+0j)
ZIXXZI	(1.0965435606338368e-05+0j)
ZZXXZI	(-1.0965435606338368e-05+0j)
ZIXXII	(-1.0965435606338368e-05+0j)
ZZXXII	(1.0965435606338368e-05+0j)
ZIIZZZ	(0.0015608416448032614+0j)
ZZIZIZ	(0.002070073119426478+0j)
ZIZZZI	(0.002070073119426478+0j)
ZZZZII	(0.0015608416448032614+0j)
ZIIZIZ	(0.0023695318070168867+0j)
ZIZZII	(0.0023695318070168867+0j)
