0.000000000000000000e+00 9.303514631144871316e-04 -1.922521604267381390e+00
5.000000000000000278e-02 7.804840451748340513e-04 -1.922998688532638445e+00
1.000000000000000056e-01 6.546934677005289416e-04 -1.923428795364094501e+00
1.500000000000000222e-01 5.491274986533234426e-04 -1.923816958376911579e+00
2.000000000000000111e-01 4.605463537341591973e-04 -1.924167616858231789e+00
2.500000000000000000e-01 3.862263002019084013e-04 -1.924484692577312694e+00
2.999999999999999889e-01 3.238781858736494712e-04 -1.924771655986043051e+00
3.499999999999999778e-01 2.715786463522995575e-04 -1.925031583327824425e+00
3.999999999999999667e-01 2.277120647957708854e-04 -1.925267205955142336e+00
4.499999999999999556e-01 1.909216386311030078e-04 -1.925480952968552151e+00
4.999999999999999445e-01 1.600681502811340806e-04 -1.925674988128554199e+00
5.499999999999999334e-01 1.341952483580044486e-04 -1.925851241853505869e+00
5.999999999999999778e-01 1.125002256952001289e-04 -1.926011438998308289e+00
6.500000000000000222e-01 9.430943470833952347e-05 -1.926157123007333771e+00
7.000000000000000666e-01 7.905761220117213384e-05 -1.926289676948607310e+00
7.500000000000001110e-01 6.627049801499751425e-05 -1.926410341862438980e+00
8.000000000000001554e-01 5.555022725101110836e-05 -1.926520232794827647e+00
8.500000000000001998e-01 4.656305690486917115e-05 -1.926620352832301375e+00
9.000000000000002442e-01 3.902905639563414297e-05 -1.926711605409190176e+00
9.500000000000002887e-01 3.271344969490996846e-05 -1.926794805119380616e+00
1.000000000000000222e+00 2.741934588224026470e-05 -1.926870687231467150e+00
1.050000000000000266e+00 2.298163660130470021e-05 -1.926939916077927473e+00
1.100000000000000311e+00 1.926187390033362590e-05 -1.927003092464881551e+00
1.150000000000000355e+00 1.614397161775471545e-05 -1.927060760228441749e+00
1.200000000000000400e+00 1.353059834441339149e-05 -1.927113412046151497e+00
1.250000000000000444e+00 1.134015108084085455e-05 -1.927161494597041225e+00
1.300000000000000488e+00 9.504216366806872429e-06 -1.927205413151047875e+00
1.350000000000000533e+00 7.965440576018778529e-06 -1.927245535657623687e+00
1.400000000000000577e+00 6.675743584150239940e-06 -1.927282196393998115e+00
